"","ccode","mean_bmi_obs","mean_height_obs","mean_height_est","mean_bmi_est"
"1","Bulgaria",25.1151481947561,171.088762165243,171.036453817077,24.9670439189095
"2","Denmark",24.486546543082,173.910847701153,171.634177238675,24.9339931062897
"3","England",25.322944526388,172.624316653478,171.422938317575,24.9274611059122
"4","Estonia",24.557690623225,170.077741940871,171.574150332288,24.9473888344431
"5","Finland",25.2491927227819,172.451488599922,171.177037778243,25.0308610166672
"6","France",24.5594900380031,170.730437114774,171.266689420745,25.0025262860893
"7","Ireland",25.8533520166186,172.171950984286,171.367946420989,24.9276759581112
"8","Italy",25.0877327157529,168.13509728695,170.841157736343,25.116515376637
"9","Netherlands",24.3045914151154,174.527173732861,171.700942594219,24.9293396307166
"10","Norway",24.9998672397453,175.021458395717,171.551296671908,24.9206761737833
"11","Portugal",25.0407650660733,165.318074578663,170.965557219917,25.0734230320914
"12","Scotland",25.322944526388,172.624316653478,171.422938317575,24.9274611059122
"13","Spain",25.5065138700311,167.417701455096,171.026011085576,25.0483089743314
"14","Sweden",24.8077639008325,174.967182186874,171.572980707837,24.9311904356053
"15","Switzerland",24.9281871204677,168.767756837117,171.267039491161,25.0303715661882
"16","United Kingdom",25.322944526388,172.624316653478,171.422938317575,24.9274611059122
"17","Wales",25.322944526388,172.624316653478,171.422938317575,24.9274611059122
